team_id,team_rank,team_name,team_rating,team_matches,team_points,ranking_lastUpdatedOn,app_seo_title
524,79,China,9,7,63,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
526,80,Estonia,5,11,60,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
563,81,Maldives,4,20,75,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
897,82,Turkey,4,7,26,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1179,83,Cameroon,2,14,25,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
565,84,Myanmar,2,7,12,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
567,85,Gambia,1,9,11,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1284,86,Eswatini,,18,0,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1277,87,Seychelles,,7,0,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
545,88,Samoa,,9,0,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1265,89,Mali,,8,0,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1076,90,Croatia,,10,0,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
1081,91,Greece,,6,0,2024-02-16,ICC Cricket Rankings - Top 100 Batter | Cricbuzz.com
